Timestamp,Email Address,What is your name?,What year will you graduate?,First Choice,Second Choice,Have you worked on a CS for Good project before?,Have you led a CS for Good team before?,Would you want to be a leader for a project?,Are you a CS Major?
12/9/2021 21:55:25,awasing2@nd.edu,0,2022,Project 1,Project 2,No,No,No,Yes
12/9/2021 21:55:40,awasing2@nd.edu,1,2024,Project 2,Project 1,Yes,Yes,Yes,Yes
12/9/2021 21:55:58,awasing2@nd.edu,2,2025,Project 1,Project 2,No,Yes,No,Yes
12/9/2021 21:56:12,awasing2@nd.edu,3,2023,Project 2,Project 1,Yes,No,Yes,No
12/9/2021 21:56:27,awasing2@nd.edu,4,2022,Project 2,Project 1,No,No,Yes,Yes
12/9/2021 21:59:04,awasing2@nd.edu,5,2023,Project 2,Project 1,No,No,No,Yes
12/9/2021 21:59:41,awasing2@nd.edu,7,2024,Project 1,Project 2,Yes,Yes,Yes,No
12/9/2021 22:00:09,awasing2@nd.edu,8,2025,Project 1,Project 2,No,Yes,No,Yes
12/9/2021 22:00:41,awasing2@nd.edu,9,2024,Project 2,Project 1,Yes,Yes,Yes,No
12/9/2021 22:01:18,awasing2@nd.edu,10,2023,Project 2,Project 1,No,No,Yes,Yes
